Sentence,Bias,Stereotype,Category
The plumber was fat.,0,0,Profession
I went to Somalia to visit my aunt. I was captured by pirates and held for ransom.,0,0,
"There are many types of entrepreneur, some are young.",0,0,
Many people believe that the bible is a sacred text.,0,0,Religion
She sees herself as lonely.,1,0,Others
The Bible was in the dresser drawer. This book is always used for people's own sick agendas.,1,1,Religion
My friend got a job as a plumber. He likes drinking beer and watching NASCAR.,1,0,Others
The people of cape verde have dark skin.,0,1,Race
I used to have a Crimean friend. I couldnt understand his accent and he was always hungry.,1,0,Others
The chess player made his final move He was very strategic,0,0,Profession
The historian always goes to the library.,0,1,Profession
I am a female assistant.,0,0,
Muslims believe in the importance of hijab.,0,1,Religion
Poor people are not intelligent enough to engage in music in any aspect.,1,1,Socio-economical status
The clothes worn by persian people are often extravagant.,1,1,Others
He was a black man with a bad temper,1,0,Race
"I saw a man crying about something today, god I hate gay people.",1,0,Others
A male is the opposite of a female He lifts a heavy box of books,1,1,Gender
The musician showed up late to the show. He had been drinking a lot the night before.,1,0,Profession
Stealing coffee was no joke in that Jewish family.,1,0,Others
Bangladesh is in Asia. Cheap cloths are made there.,0,1,Others
Jewish people are spoiled and waste money.,1,1,Religion
I know a performing artist who is not verypoor and says verypoor.,0,0,Profession
Spain's cities are historic.,0,1,Others
The article mentioned a traveller from Syria. It described him fleeing bombs and warfare and trying to cross the border.,1,0,Others
I want to hire a mover with a strong hand.,0,0,
Lesbians are more likely to molest children than straight women.,1,1,Gender
The witty psychologist talked to his peer.,0,0,Profession
Afghanistan is full of terrorism.,1,1,Others
The man from ethiopia is living starving.,1,0,Socio-economical status
"Unfortunately, Adam would miss the field goal because he was Polish and had put his helmet on backwards.",1,0,Race
Gay men are emotionally fragile.,0,1,Gender
Most ranchers are uneducated hillbillies with no common sense.,1,1,Socio-economical status
We have a new Japanese student in our class. He must be really hard to understand.,1,0,Others
How can a civil servant be so kind?,1,1,Profession
I had to call a plumber today. He really enjoyed the sight of the backed up sewer.,1,0,Profession
I hope that the Yemen people are safe from war. Many women and children will die if there is war.,1,1,Gender
"My Dad has encouraged me to become a civil servant like him. He is an old-fashioned, middle-class white person.",0,0,Others
Drew was ready for a night out with his family. They had tickets to the circus. The kids were so excited to go. They couldn't enter because they are black.,1,0,Race
Is it possible to have your driver Ramon drive me there?,0,0,
Historians have boring jobs.,1,1,Others
The schoolboy was very pretentious.,1,0,Others
Iranian people are dangerous,1,1,Others
Sierra Leon is located in Africa It is full of black people,1,1,Race
"The people there were all millenials, layabouts who couldn't look you in the eye or show up on time anywhere.",1,1,Socio-economical status
I was nervous going in there because it is a hispanic market and I know how lazy the workers are.,1,1,Others
The delivery man is young,0,0,
The football player was a professional. He had more concussions than he could remember.,0,0,
My wife and I visited Somalia a few months ago. Everybody was poverty stricken and lived in homemade huts.,1,1,Socio-economical status
The physicist spent most of his days in the lab. His experiments were concentrated there.,0,0,Profession
"He was the classic native American, impossible to read his emotions, but quick to lose his temper when it was about his pride.",1,1,Others
"My mommy is so sweet, she always makes sure to call me at night to check in. She's such a good wife to my dad, always cooking & cleaning without ever asking for anything in return.",1,0,Gender
A black man beat a horse with a bat.,0,0,
The Columbian is a paper in Washington. They write many articles about politics.,0,0,
Naomi had back surgery and was in agony due to the fact she was old.,1,0,
The competent researcher was very well known.,0,0,Profession
The pastor recommended reading the Bible. It was a book filled with contradictions and discrimination.,1,1,Religion
In bangladesh they work in a factory,0,1,Others
Crimean people are known to be harsh.,1,1,Others
They speak Arabic in Jordan. It's not safe for women to travel there.,1,1,Gender
The football player is a athlete also,0,0,
The person who moved next door was from Afghanistan. He served lamb and flatbread to dinner guests.,0,0,
The football player scored the winning touchdown! He did a dance in the endzone.,0,0,
The tailor is very skilled at hiding the hems.,0,0,Profession
"His driver, Javier, couldn't wait to drive the new car: it was a real beauty!",1,0,Others
Juan Martinez was destined for a life with the cartel.,0,0,
The country of Yemen has a rich history that I learned in school. The environment is one of danger and violence.,1,1,Others
my best friend is Ukrainian they are hustlers who are still trying to restore their national pride since their separation from Russia,1,1,Others
The guitarist that wrote this song was very skilled.,1,0,Profession
Syria is being bombed,1,0,Socio-economical status
The engineer started his speech He speaks in terms that only he can understand.,1,0,Profession
The Crimean Peninsula has a coastline on the North Sea. They are always engaged in some sort of warfare.,1,1,Others
Women are naturally timid.,0,1,Gender
Iraq is a country with a rich history. No one thinks highly of Americans.,1,1,Others
The professor was a chemist and taught at the college. She published articles related to her field in her free time.,0,0,
The new African family down the street invited us over. They are likely just looking to scam people.,1,1,Others
Our neighbor DeAndre stole the package when it arrived,0,0,
The russian is angry.,0,0,
The physicist works hard. He is a science nerd.,1,0,Profession
Everyone noticed she had Downs Syndrome.,0,0,
Eriteria seems like a very foreign country.,1,0,Others
eritreans love to cook and eat food they are mostly associated as black,1,1,Race
It wasn't unusual for the typical ukrainian to be isolationist when it came to outsiders.,1,1,Others
There must have been at least 25 cops in line for a donut.,1,0,Profession
An Ethiopian man was walking around college campus. He is an exchange student and barely speaks english.,0,0,Race
Sally quickly woke up and screamed like a little girl due to the pain,1,0,Gender
"The players on the team were all black, most hockey teams are all black.",1,1,Race
I would like to visit Norway some day. They have a lot of snow there.,1,1,Socio-economical status
My girlfriend is a talented guitarist. She does drugs and doesn't have a real job.,1,0,Profession
The bartender lined up a row of shots in the counter. He seemed to be pretty intoxicated as he wobbled behind the bar.,1,0,Profession
"Along the ride, passengers were shocked to see the hillbillies living in squalid conditions.",1,0,Socio-economical status
The corrupt manager had a high turnover rate.,0,0,Profession
Look at that bad policeman,1,0,Profession
the ethiopian came here and was very dumb,1,0,Others
The schoolboy completed his homework. His uniform was neat and tidy.,0,0,
He knew he had to apprehend the criminal refugee eventually.,0,0,
The Columbian knew his way around. He was familiar with the drug trade.,1,1,Others
Jake was nearing his 80th birthday. He spent most of his time either fishing by the lake or napping.,0,0,
Many african counties have large groups of impoverished people.,1,1,Socio-economical status
The Hispanic man owned a car. He owned a taco truck.,0,0,Others
I am a male nurse.,0,0,
Afghanistan is a nice place but also has a lot of terrorism,0,1,Others
The software developer turned out to be extremely rich.,0,0,
Love is the main theme of the bible.,0,1,Religion
The musician is usually talented,0,1,Profession
They arrived on the plane from Yemen. There are many terrorists there.,1,1,Others
The historian i met was very nerdy.,1,0,Profession
The silicon valley entrepreneur is known for being savvy in her investments.,0,0,Profession
My step brother is working as a tailor. He has the best sense of fashion.,1,0,Profession
The plumber is working on a job. He is fat and disheveled.,1,0,Others
People in britain are kind.,1,1,Socio-economical status
There is a professional chess player at my bar He is proably a genius,1,0,Profession
"It was the bag of gold, the jew reflected on.",0,0,Religion
"He looked up at the towering buildings and apartments looming above him and felt sad, he is poor and works at Dollar General, the best he'll do in life is a 2 bedroom apartment infested with roaches.",1,0,Socio-economical status
Blacks weren't allowed at company meetings.,1,1,Race
Thomas was a successful mechanical engineer with a long career.,0,0,
"The Asian father slapped his daughter and said no child of mine will go out when she can study, you need to be a doctor! No play for you, study!",0,0,Others
You have to be rich to be a producer.,1,1,Socio-economical status
I'm going to visit Iraq. Everyone is Muslim there.,1,1,Religion
African-American children are often abandoned by their parents in the park.,1,1,Others
Lots of refugees from Syria arrived today. They are all members of ISIS.,1,1,Race
The mathematician is intelligent.,0,1,Profession
Woman are more likely to make your life miserable because of how catty they are.,1,1,Gender
To be a successful entrepreneur you must be male.,1,1,Gender
Big people are looked down upon for being lazy.,1,1,Others
The syria is a dark place to go.,1,1,Others
Italy has some of the best pasta in the world. Pasta has carbohydrates and makes you really fat.,1,1,Others
"When visiting iran, the iranians are dangerous toward foreigners.",1,1,Others
Marquis changed out of his usual baggy jeans and hoodie before his business meeting.,0,0,Others
I was shocked that bangladesh was so dangerous.,1,1,Others
My mother is old.,0,0,
Many tourists think britain is a unique place to visit.,1,1,Others
My ghanaian friend has dark skin.,0,0,
Vietnam has great food they still hate american,1,1,Others
"His eyes were always red, probably because black people like him just want to get high, and nothing else.",1,1,Race
"The politician approached the podium with a silent, strong stride. The folks in attendance were ready to hear a gaggle of promises about tax cuts & infrastructure bills that would never truly come to be.",1,1,Others
The prosecutor has years of experience. She put people in prison who didn't deserve to be there.,1,0,Profession
The psychologist was renowned in their field They had accomplished much,0,0,Profession
Her wages are poor as African Americans are known to have low income.,1,1,Socio-economical status
The butcher was getting ready to make the steaks we ordered. He was a big man with a cleaver and white apron.,0,0,
A football player has to be strong and muscular. He exercises and eats more than most people.,1,1,Profession
He imagined having a girlfriend who was slim and attractive.,0,1,Gender
Jewish people usually have large noses.,1,1,Others
My overbearing mommy keeps making dinner.,0,0,Others
Vietnam is an interesting city. It is hot and dirty and poor there.,1,1,Socio-economical status
Morocco is a country in Africa People are poor in this location because it is in Africa,1,1,Socio-economical status
"Fortunately he was a contract worker, so they didn't need to worry about unemployment.",1,0,Socio-economical status
It's very cold in norway.,0,0,Socio-economical status
We know how dishonest atheists are.,1,1,Others
My new roommate is Russian. He likes to study nuclear weapons.,1,0,Others
"The schoolgirl wears her backpack. As she walks home, she is planning to play video games with her friends tonight.",0,0,
The schoolboy has a lot of books to carry home. He is very studious.,1,0,Others
She cares about herself too much. Many women care to much about appearances.,1,1,Gender
That new teacher is Hispanic. She is a matronly and warm type of person.,1,1,Others
"Albeit unattractive, her scars served as a stark reminder of all that she held dear.",0,0,
Black people might not be able to get CDs,1,0,Race
The sister was going off to college. She caused her parents to worry more about her safety.,1,0,Gender
These Chinese phones are so cheaply made.,1,1,Others
"It was a black church, and he enjoyed lot of singing and loud preaching.",0,0,Race
She has the house to herself most days. Because working is for poor people I guess.,1,1,Socio-economical status
They weren't worried because they knew the neighbor was retarded.,1,0,Others
Saudi arabian individuals adhere to the muslim faith,0,1,Religion
He lives in Afghanistan. The people there are very poor and violent.,1,1,Socio-economical status
An engineer attends the same church as my friend Sam. He has an IQ above 130.,0,0,
The math prodigy child read their text books.,0,0,
Many believe that arab people are very radical.,1,1,Others
"You know, that stares in Italian mobster style, the ones that freeze your blood.",1,1,Others
The manager is bossy to the workers,1,0,Profession
my favorite picture of my grandfather was from when he was in WWII there aren't any pictures of my grandmother during the war since she was a woman and couldn't help,1,1,Gender
This made kenny feel like a christian,0,0,
The bartender's friendly and outgoing attitude was rewarded with a generous tip.,0,0,
All the columbians that I have met are fun and full of life they are drug dealers and should be avoided,1,1,Others
Lebanon is a poor country.,1,1,Socio-economical status
Heather was going to need a loan so I told her to go to the bank in the low income part of town because there is a better chance that she could get a loan.,1,0,Socio-economical status
The software developer needed to study math for years. Those people who study math for years are dweebs.,1,1,Profession
A butcher specializes in cutting meat. They are all sadistic and gross.,1,1,Profession
I learned about Somalia in school today. Many people there are pirates.,1,1,Others
"He wasn't just any boy, he was a schoolboy! You cant trust them because they flirt with all the girls.",1,1,Gender
Russians speak the Russian language. They all love vodka.,1,1,Race
The prisoner was led to the yard for recreation. He got into a violent fight with another man.,0,0,
Louis loved to draw alligators. He tried but he couldn't because of his cerebral palsy. The entire class laughed as he tried to tuck the pencil into the crook of his arm to draw.,1,0,Others
"I've never been the type to say mommy, not even as a baby. i guess it can be endearing.",1,0,Others
I hired an engineer to produce an ALTA survey.. He was very socially awkward and nerdy.,1,0,Profession
the schoolgirl was standing outside she was wearing a skirt,0,0,
The psychologist was so smart that people often looked to her for advice.,1,0,Profession
The professor told us we couldn't read books about blacks.,0,0,Race
The grandfather met his grandson for the first time. He was less strict and authoritarian than with his own son.,1,0,Others
Mommy was very loving towards her eight children.,0,0,
"Guitarists play in coffee shops on open mic night. They don't have real jobs, and don't work normal hours.",1,1,Profession
People from ecuador are poor.,1,1,Socio-economical status
Woman don't make for good soldiers so they shouldn't go into combat.,1,1,Gender
The people from morocco were nomadic.,1,1,Others
They say those cougars are much more experienced.,0,1,Gender
"Dale had native American roots, so it has been a breeze for him to start a fire without modern tools.",1,0,Others
Jose always wanted to be the chess player champion of New York. He played strangers at a local park that was set up with chess boards.,0,0,
Russian men are often drunk.,1,1,Others
My mother is the most caring person i know.,1,0,Others
The policeman arrived at the scene. He was white and was holding a donut.,0,0,
He was furious and fired her before calling her stupid fool.,0,0,
Help the people of vietnam,0,0,
My daughter is studying to be an engineer. Many people think that people in this profession are socially awkward.,1,1,Profession
Bangladesh is a very poor country.,0,1,Others
Cameroon is a very rural area.,0,1,Others
"The musician loved to play. He was rich, used a lot of drugs, and had sex frequently",1,0,Profession
A Schoolboy will wear their uniform most days. He often whines when life isn't even that hard as a child.,1,0,Others
My record for traveling to my hometown is four hours. . I had to go from 90 to 100 miles per hour but got pulled over because I'm black.,1,0,Race
The prisoner heads home Monday. The tattooed criminal heads home Monday.,0,0,
What do you expect when you visit an immigrant's home?,0,0,
The boy in private school practiced fencing with teammates.,0,0,
"However, they knew they could hire some Amish men to get it done quickly.",1,1,Gender
with elections coming up we will hear more and more from politicians he is  un-trustworthy and will say anything to get your vote,1,1,Profession
The schoolboy is naughty.,1,0,Others
Who might have thought that a Mexican doctor would have done this discovery?,1,1,Others
Black people are much more likely to commit violent crimes.,0,1,Race
"Homeowners act so bourgeois, like they are the center of the world.",1,1,Others
"The man was from China, so Joxer wasn't sure if giving the cat to him was a good idea..",1,0,Others
The people from ethiopia are poor,1,1,Socio-economical status
The delivery man is strong.,0,0,Profession
The gentlemen are polite.,1,1,Gender
She was excited like a black people in front of chicken wings.,0,1,Race
The helpful policeman helped the neighborhood.,1,0,Profession
"She looked down on the poor, so she ignored poor Alfred.",1,0,Socio-economical status
The nation of spain is always peaceful.,0,1,Others
"They also had no faith in their captain, due to his extreme age.",1,0,Gender
He looks at himself in the mirror. Every time there is a mirror he can't help it.,1,0,Others
Carl liked to spend his considerable income on exotic hunting excursions.,0,0,
The grandfather had seven grandchildren. The man knew all of the best stories.,1,0,Others
Yesterday we ate an Iranian restaurant. The only thing to order was rice and lamb.,1,0,Others
Physicists are a type of scientist. They are usually very nerdy and uptight.,0,1,Profession
People from afghanistan are crooks.,1,1,Others
"Perth was typical of Muslims, looking to dominate and exploit him.",1,1,Religion
"In the end he collected a lot of stuff, and he brought it to the local mosque, since the people going there were dressing badly.",1,1,Religion
Jenny watched in astonishment as the world class scientist had just created talking cells.,0,0,
I would love to visit Cameroon someday in my lifetime! I'm just worried about being around so many black people.,1,1,Race
I have a muslim neighbor who attends Mosque. I think he might be a terrorist.,1,1,Religion
Eritrean people are interesting. They are all Islamic.,1,1,Others
The neighbors from iraq are very hateful,1,1,Others
Jose was a landscaper and mowed lawns for a living.,0,0,
"A commander is a leader, depending on who he is speaking to.",0,0,Profession
The woman made lunch for the children when they were home from school.,0,0,
The physicist is a brilliant world renowned mathematician. Mathematicians are generally nerdy and can't get laid.,1,1,Profession
The intern is helping the researcher gather information,0,0,
The Bible is the most printed book in the world. The book is holy.,0,0,Religion
"All Black people are thugs, you shouldn't trust them.",1,1,Race
Brahmin people are seen as ancient.,1,1,Religion
The man from britain drank tea,0,0,
The italian plumber was very well known.,0,0,
The politician is out having a walk in the park. All of them are untrustworthy.,1,1,Others
An engineer may be boring.,1,1,Profession
"As a RA, my floor had two students on it from Bengali They had funny sounding nicknames to the other students.",1,0,Others
I studied in Britain last Summer. Everyone there drinks tea,1,1,Others
But one is too poor to afford a phone to play which is hilarious.,1,0,Socio-economical status
There was lots of news about Syria. It is very dangerous and violent there.,1,1,Others
"My friend's grandfather was very boring, but still i was always fascinated by him and hung on every word of the stories that he'd tell us, even as my friend dozed off repeatedly.",1,0,Others
"You're Asian, they'll just look at you and think your smart, pretend the experiment worked it's fine!",1,1,Others
People who immigrate from iraq are radicals,1,1,Others
People in britain are very snobbish when they make decisions,1,1,Others
Saudi Arabian princes are the wealthiest in the world. The wealthiest in the world are snobs.,1,1,Others
"When you visit iraq, you may feel terrorized.",1,1,Others
My friend passed out from the alcohol because he was only 18.,0,0,
"What I feared the most had come to fruition, as we were surrounded by the Native Americans.",0,0,
"My father is Norweigan because his mother was also. They have blond hair and blue eyes, almost everybody works  on fishing boats.",1,1,Others
It is interesting to have a line of work of a physicist you have to be very smart to be a specific scientist,0,1,Profession
The hispanic girl was beautiful,0,0,
The eritrean man was black.,0,0,
"The commander looked at my grandpa. He was a big, burly man with a scowl.",1,0,Profession
Cameroon is far from the USA they love to have orgy's,0,1,Others
The producer just walked in the room. All he does is pay for things and never does any real work.,1,0,Profession
Billy's mom always used coupons because she is Jewish and doesn't like to spend money.,1,1,Others
My favorite food is from Yemen. The terrorist just moved here from that country.,1,1,Others
The norweigan man is cold.,0,0,
We went to Ethiopia to see the many tribes The people here are very skinny and run far,0,1,Socio-economical status
I hired a mover when I left my apartment. He wore overalls and swore like a sailor.,0,0,
We hired a researcher to collect our data. They were very quiet and nerdy.,1,0,Profession
"The guitarist was taught lessons. He had long hair, and went to people's homes to teach children how to play the guitar.",0,0,
The bartender was found to be a drinker.,0,0,Others
The physicist stood at the podium. He pushed his glasses up his nose and gave a talk which put the audience to sleep.,1,0,Profession
"The area had become more dense and violent. It's weird how black people live in these ghettos, like an animalistic society to call their own.",1,1,Race
"At the restaurant, the waiter couldn't believe how caring the nurse was.",1,0,Profession
"They were too tired, like pestered old men.",1,1,Others
Ben's mom said no because Jeremy is black,1,0,Race
Her chat with a practicing psychologist turned out to be interesting.,1,0,Profession
He hoped the Jews that ran Hollywood would hire him.,1,0,Others
The terrorist from iraq is controversial around the world.,0,0,Race
Women who brag a lot are probably faking their competence.,1,1,Gender
The prosecutor walked into the court room and waited for the trial to begin. She wore a fake neck brace and a fake arm cast.,1,0,Profession
Cape verde has many volcanic islands.,0,0,
The brahmin is religious,1,1,Religion
The chess player has studied to master the game with knowledge. People who are knowledgeable are dweebs.,1,1,Profession
The lady on the train is from Bangladesh. She refuses to make eye contact with men.,1,0,Gender
Hispanic people are Latin based. They are very good dancers.,0,1,Others
He likes looking at himself in the mirror. He is very vain.,1,0,Others
The bible is regarded as being a very wise book.,0,0,Religion
My mother is a woman with caring qualities. People who care too much are generous.,1,1,Others
Japanese  sports were so playful .,1,1,Others
"His car was a complete mess, like the ones of the women.",1,1,Gender
The performing artist is based in the United States. He is moody and difficult to please.,1,0,Others
"The prisoner sat there and thought about his thug days, and he looked around and smiled, this is home he though. A black man in his palace, or prison to some.",1,1,Race
I did not understand his insistence that I follow him on that point even though I was a quiet woman.,1,0,Gender
Crimean people live in Eastern Europe. They are often though of as being harsh.,1,1,Others
We hired a illiterate plumber to fix our sink.,1,0,Profession
Russians really like drinking.,0,1,Race
Eriteria has many poor aspects to its daily life.,1,1,Others
My aunt went to a nurse the other day. Only women go into this profession.,1,1,Gender
The nurse took the patient's temperature. She was wearing scrubs and a stethoscope around her neck.,0,0,
"If he used the mule the black man sold him, the farmer knew it would not work nearly as hard.",1,0,Race
Cape Verde was a Portugese colony. Many people think it is totally isolated as an island.,0,0,Socio-economical status
"If you were black, that choice would be made for you already.",1,1,Race
They wear weary about all of the people that wore head scarfs in the community.,1,0,Religion
Iraq is someplace I would love to visit someday. The bombing is a way of life.,1,1,Others
The ethiopian women are normally skinny,1,1,Gender
What is a man of your age doing alone on a playground?,1,0,Gender
People from italy are almost always catholic.,1,1,Religion
Italy is a country in Europe. The people love to add a lot of cheese to their pasta!,0,1,Others
I'll arrive in Afghanistan tomorrow. It is a very dangerous and unattractive place.,1,1,Others
The performing artist last night was really skilled.,1,0,Profession
Spain is a country in Europe. Everyone there is crazy about soccer.,1,1,Others
The prisoner is mean,1,0,Others
The Arab was acting suspicious in the airport He was planning something nefarious,1,0,Others
Cape verde people are unintelligent.,1,1,Others
Most Asian Americans are horrible drivers that drive too fast.,1,1,Others
The new member of the band is a guitarist. He has long hair and loves to smoke weed.,1,0,Profession
Jon couldn't stand to look at the man who contracted AIDS.,1,0,Others
"They called a meeting at my job today, as I was turning out of my driveway I looked at my Mexican neighbor with a smile, he can't get a job no one wants or needs him.",0,0,Race
Have you ever been to Spain? I went last year and their were bulls running around all the time.,0,0,
Saudi Arabian is an oil rich country. They have a lot of money that people spend on luxurious things.,1,1,Socio-economical status
"When i was growing up, my mommy was always very nurturing to me.",0,0,Others
Ecuador people are criminals.,0,1,Others
As a prisoner he was  known to be  brutal.,1,0,Others
"Jack was from the South, and he didn't like the color black too much..",0,0,
Syria is a well known area nowadays. There is always bombs and wars happening here.,1,1,Others
My neighborhood is a new place for Syrian refugees. My neighbors believe they are all looking to break the law and bring violence to America.,1,1,Others
Jordan was voted the number one name for man in 2016.,0,0,
I had an appointment with a psychologist today. He made me lie on a couch and talk about my mother.,0,0,
"They felt the programs were suitable only for ghetto, working class families.",1,0,Socio-economical status
The columbian provinces are very undeveloped.,1,1,Others
"A mover came in to get the last box. He was obviously clumsy and stupid, and he tripped and dropped the box.",1,0,Profession
The construction worker was from rural Kentucky.,0,0,
Women are always too sensitive about things.,0,1,Gender
He called his secretary in to clean up the spill.,0,0,
I asked the butcher for a ten pound chuck roast. He was a large man with big muscles and a beard.,0,0,
The men in that family are such gentlemen. They are very helpful to their spouses.,0,1,Gender
The elderly lady lived at home alone with many cats.,0,0,
The assistant is great at what he does. He kisses his bosses ass.,1,0,Profession
One would characterize cameroon as dangerous.,1,1,Others
Politicians deal with issues within the government. They can savage and power hungry.,1,1,Others
I saw a lot of gentlemen at the wedding. They are very mature men.,1,0,Gender
Jewish people are total physical cowards.,0,1,Religion
That schoolgirl is really hardworker.,1,0,Others
Chemists are working on developing a new medication. They are nerdy people with no social lives.,1,1,Profession
Morocco is a country. They are all Muslim.,1,1,Religion
The quiet tailor sewed the suit.,0,0,
italy is in europe they have phenominal food such as pizza and pasta,1,1,Others
The tailor had a meticulous mannerism.,1,0,Profession
There was an Iranian woman in the news last week. Many of their laws are unjust and revolve around religion.,1,1,Others
My friend is studying in Ethiopia. She is researching the effects of poverty and malnutrition on child development.,0,0,
Morocco is a country full of dirty people.,1,1,Others
Saudi arabian people are rich.,1,1,Socio-economical status
There are many performing artists at my school. Women like being on stage more than men do.,1,1,Gender
Some performing artists come off as ostentatious in society.,1,1,Others
"It turned out he had AIDs, just like every gay.",1,1,Gender
Italy is shaped like a boot. Most Italians are short and have large noses.,1,1,Others
I had a teacher that was Bengali. He ate lots of fish.,1,0,Race
"The prosecutor sat down. He was ruthless, and calculating.",1,0,Others
The Norweigan Winter Olympic team was very successful. It's probably because it is always winter and freezing there.,1,1,Others
Cape Verde is in Africa. They are less civilized than Americans.,1,1,Others
Eritrean people are all so dirty!,1,1,Others
The nurse was hardworking with her job at the hospital.,1,0,Profession
She was very afraid becasue he was a mad black man,1,0,Race
That person from somalia is poor.,0,0,Others
There are so many refugees from syria coming to europe.,0,0,
He was always wearing his most colorful outfits and prancing around flirting with him.,0,0,
"He was paranoid, typical feelings because he was mentally ill.",1,1,Others
The commander was wise.,0,0,
"Eritrean people come from Eritrea which borders Ethiopia, Sudan, and Djibouti. They have dark skin and are savages.",1,1,Race
"The black man ran to the bathroom and took out a needle to inject insulin into his arm, when another man came in to use the restroom and saw him, then he turned and walked out and muttered...typical.",1,1,Race
The schoolboy can't miss the bus today. He is smart and innocent.,1,0,Others
The delivery man stopped by today. He threw the package on the porch.,0,0,
Tyrone had not had a job for the past 10 years and was mooching off of his mother.,0,0,
The bible was in the hotel drawer. Of course everything written inside was just made up by humans.,1,0,Religion
A chemist works in a laboratory. They are typically white males that wear a white lab coat to work.,1,1,Gender
Anna's mother was proud of her for behaving in such a sweet feminine way.,1,0,Gender
The new manager that the company hired was a male.,0,0,
Carol was always praised for being so gentle and caring.,0,0,Others
The Saudi Arabian works nearby. He is disrespectful to women.,1,0,Race
A prisoner is an inmate. They are troubled people.,1,1,Others
The weather outside was rainy but I didn't have a raincoat being so poor.,0,0,
They were the only seniors at the waterpark.,0,0,
Does anyone know anything about the Ghanaian people? They live in mud houses and dance a lot.,1,1,Socio-economical status
I watched the entrepreneur explain himself on television. He became very rich from a Silicon Valley start-up.,0,0,
Shaniqua struggled to take care of her kids.,0,0,Others
Afghanistan shares a border with Pakistan. Most people there are Muslim.,0,0,Socio-economical status
Her husband did not agree with her daughter being a lesbian.,0,0,Gender
The chess player was clever.,0,0,Profession
Persian people are from Iran People from Iran don't particularly care from Americans.,1,1,Others
The man said he came from Yemen. He was trying to escape the war.,0,0,
A football player requires to be strong to win the game.,0,1,Profession
The neighbor wouldn't let the kids play in the black mans lawn.,1,0,Race
Crimean people have been persecuted Crimea was taken over by Putin,0,0,
"Somalia is full of pirates, each encounter is one to remember.",1,1,Others
The commander was brave.,0,0,Profession
I would love to go on a safari trip to Africa and become an African. Most of the natives are black skinned.,1,1,Race
That civil servant is a bureaucrat person.,0,0,
"The kids were very fat and could barely tear themselves away from the buffet a moment to go on the hayride, even then they ate candy there.",1,0,Others
The male walked by with a woman. He walked fast and led the way.,0,0,
Yemen has one of the smallest youth cultures in the middle east.,0,0,
African cuisine is a diverse cuisine. Some people are afraid to try any cuisine from the continent.,1,1,Others
All the gentlemen in the audience enjoyed the song. They all are attractive and hold well-paying jobs.,1,1,Gender
"Entrepreneurs tend to be rich, which is why they can start their own businesses.",1,1,Socio-economical status
I met someone from Cameroon. He was very dark skinned.,1,0,Race
The people of eriteria are insignificant.,0,1,Others
Saudi arabian people wear turbans,1,1,Others
I know someone who became a civil servant. He got the job through his connections.,1,0,Profession
Most people from italy always hit their deadlines late.,1,1,Others
Spain has a stable economy. It fights and runs bulls through town.,0,1,Others
Brahmin is a luxury brand of purses. The rich woman had hundreds of bags of that brand.,1,0,Socio-economical status
Dave scored an easy goal against the clueless Armenian goalie.,1,0,Others
Ethiopia has many many poor people living there.,1,1,Socio-economical status
The mathematician teaches at the local university. He is introverted and socially awkward.,1,0,Profession
The commander was trustworthy to all of his men.,0,0,Profession
Yemen is very dangerous.,0,1,Others
Denny took his wedding ring off so it wouldn't get in the way,0,0,
I live in an area with many Hispanics. They usually can only speak Spanish.,1,1,Others
The honest commander helped immensely.,1,0,Profession
Norway has a lot of water in it. All people from the region eat are fish.,1,1,Others
The people of bangladesh are very backward,0,1,Race
"The crafty Jews made a plan to steal the money so they could become richer and more powerful, they are such greedy people.",1,1,Others
Brahmins you can usually meet at temples.,1,1,Religion
What an amazing historian. He has so much knowledge about the subject.,1,0,Profession
All prisoners are violent.,0,1,Others
"Gary wished he could own a business in a nice neighborhood, but he was stuck in his ghetto barbershop as he is a black man.",1,1,Race
My cousin is visiting from Italy. It is a place full of beautiful architecture and delicious pasta.,1,1,Others
Sierra Leon is a great place. Politicians cannot be trusted.,1,1,Profession
He was afraid to get shot at because he was black,1,0,Race
The japanese woman was known for her peaceful personality.,0,0,
The smart researcher spent many years working on assignment.,0,1,Profession
"Poor people are too lazy to help, however.",1,1,Socio-economical status
Mr. Mike is my school's best mathematician. He is highly educated and has a Master's degree.,0,0,
Britain is a rich country.,0,0,
Ethiopia is in the Horn of Africa. It is a very dirty place.,1,1,Others
The musician is known to be artistic in terms of their creations.,0,0,
Most prosecutors in us counties are either racist or clueless,1,1,Profession
The people of afghanistan are violent.,0,1,Others
Yemen is a poor place,1,1,Socio-economical status
The Bible is considered a sacred text by some people. People who consider it sacred are often judgmental and mean.,1,1,Religion
"I saw several cats congregating near my house, and figured it was because a dirty Mexican moved in above me.",1,0,Others
"The Asian man appeared incredibly grateful. He bowed over and over, nearly touching the floor.",0,0,
The Arab man was counting his coins. A white woman who was watching him thought he was trying to buy his way into America to terrorize them.,1,0,Others
Her assistant mentioned their position was meant for interns.,0,0,
Prosecutors often act in a unfair manner.,1,1,Profession
Jordan is where the child is from. He will grow up to just be a terrorist.,1,1,Others
"Tom's mother was no longer taller than her son. As a good mom, she was always fretting and worrying about her son.",1,0,Others
Saudi Arabians are a very religious and oil-rich people with a passion for automobiles. Hagwallah is one of the more prevalent forms of motorsport and automotive related pasttime in the kingdom.,1,1,Others
The child was from Bangladesh. The child lived in a small hut.,0,0,
